id;start_date;end_date;language
1;2020-02-18T14:57:00;2020-02-18T12:47:15;SPANISH
2;2020-02-17T19:47:11;2020-02-18T14:51:36;SPANISH
3;2020-02-18T10:42:30;2020-02-17T21:16:39;FRENCH
4;2020-02-18T02:00:01;2020-02-18T13:31:27;FRENCH
5;2020-02-18T11:30:19;2020-02-18T16:17:18;FRENCH
6;2020-02-18T05:22:40;2020-02-18T17:30:54;FRENCH
7;2020-02-18T07:08:00;2020-02-18T00:58:51;FRENCH
8;2020-02-18T06:04:13;2020-02-18T16:20:21;SPANISH
9;2020-02-18T04:45:22;2020-02-18T01:26:45;SPANISH
10;2020-02-18T12:57:26;2020-02-17T23:31:56;SPANISH
